timestamp,x,y,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
1758174896,300,175,734.0,1814.0,1707.0,1824.0,6460.0,4605.0,6016.0,1922.0,10579.0,1043.0
1758174906,300,175,722.0,1803.0,1687.0,1807.0,6451.0,4607.0,6003.0,1905.0,10578.0,1041.0
1758174917,300,175,703.0,1785.0,1656.0,1778.0,6429.0,4607.0,5976.0,1873.0,10567.0,1031.0
1758174928,300,175,687.0,1771.0,1631.0,1755.0,6416.0,4612.0,5959.0,1852.0,10586.0,1041.0
1758174939,300,175,691.0,1777.0,1639.0,1761.0,6414.0,4612.0,5959.0,1847.0,10591.0,1042.0
1758174950,300,175,703.0,1790.0,1660.0,1782.0,6436.0,4613.0,5987.0,1868.0,10617.0,1055.0
1758174960,300,175,714.0,1803.0,1679.0,1800.0,6455.0,4611.0,6010.0,1884.0,10609.0,1050.0
1758174971,300,175,715.0,1802.0,1679.0,1798.0,6456.0,4605.0,6009.0,1892.0,10596.0,1044.0
1758174982,300,175,718.0,1803.0,1681.0,1800.0,6455.0,4604.0,6001.0,1895.0,10575.0,1033.0
1758174993,300,175,841.0,2077.0,2112.0,2191.0,7405.0,5684.0,6616.0,2150.0,12306.0,1174.0
1758175040,400,175,966.0,2361.0,2558.0,2598.0,8388.0,6782.0,7264.0,2415.0,14060.0,1323.0
1758175051,400,175,1090.0,2641.0,2998.0,2998.0,9367.0,7877.0,7907.0,2675.0,15825.0,1474.0
1758175062,400,175,1091.0,2647.0,3007.0,3006.0,9388.0,7889.0,7923.0,2678.0,15854.0,1480.0
1758175072,400,175,1092.0,2648.0,3007.0,3005.0,9389.0,7893.0,7924.0,2677.0,15880.0,1486.0
1758175083,400,175,1093.0,2650.0,3008.0,3007.0,9397.0,7902.0,7936.0,2681.0,15917.0,1496.0
1758175094,400,175,1094.0,2664.0,3027.0,3028.0,9424.0,7914.0,7966.0,2689.0,15939.0,1501.0
1758175105,400,175,1096.0,2680.0,3047.0,3050.0,9458.0,7928.0,8001.0,2698.0,15949.0,1501.0
1758175116,400,175,1097.0,2682.0,3049.0,3052.0,9459.0,7934.0,8000.0,2700.0,15939.0,1494.0
1758175127,400,175,1097.0,2671.0,3033.0,3035.0,9443.0,7938.0,7982.0,2699.0,15957.0,1503.0
1758175137,400,175,1027.0,2516.0,2814.0,2838.0,9120.0,7638.0,7769.0,2556.0,16104.0,1486.0
1758175197,500,175,952.0,2365.0,2602.0,2654.0,8767.0,7295.0,7561.0,2408.0,16181.0,1467.0
1758175208,500,175,874.0,2209.0,2384.0,2465.0,8393.0,6935.0,7339.0,2250.0,16209.0,1433.0
1758175219,500,175,865.0,2195.0,2369.0,2454.0,8316.0,6868.0,7310.0,2234.0,16103.0,1426.0
1758175230,500,175,857.0,2181.0,2353.0,2439.0,8237.0,6796.0,7275.0,2213.0,15986.0,1414.0
1758175240,500,175,849.0,2164.0,2337.0,2424.0,8153.0,6723.0,7237.0,2196.0,15867.0,1403.0
1758175251,500,175,841.0,2147.0,2320.0,2409.0,8070.0,6651.0,7199.0,2178.0,15749.0,1394.0
1758175262,500,175,837.0,2137.0,2311.0,2400.0,8034.0,6618.0,7179.0,2169.0,15689.0,1388.0
1758175273,500,175,835.0,2133.0,2307.0,2397.0,8016.0,6599.0,7172.0,2166.0,15661.0,1388.0
1758175284,500,175,834.0,2131.0,2305.0,2394.0,8007.0,6586.0,7169.0,2163.0,15634.0,1385.0
1758175295,500,175,872.0,2221.0,2473.0,2464.0,8508.0,6948.0,7173.0,2286.0,16463.0,1496.0
