timestamp,x,y,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
1763702325,300,175,737,2539,2447,2021,9207,5918,6269,2213,9040,760
1763702330,300,175,737,2539,2447,2021,9203,5919,6266,2213,9037,761
1763702334,300,175,738,2538,2446,2020,9204,5918,6267,2212,9042,760
1763702339,300,175,738,2538,2446,2020,9205,5918,6266,2211,9037,761
1763702344,300,175,737,2540,2447,2021,9207,5920,6266,2212,9039,758
1763702348,300,175,737,2539,2446,2020,9208,5921,6266,2212,9038,759
1763702353,300,175,737,2539,2447,2019,9209,5921,6267,2211,9041,757
1763702358,300,175,737,2539,2447,2020,9208,5919,6265,2210,9040,756
1763702363,300,175,736,2540,2446,2020,9208,5920,6267,2211,9038,756
1763702367,300,175,737,2539,2446,2020,9208,5919,6265,2210,9033,755
1763702372,300,175,738,2539,2446,2020,9208,5921,6265,2210,9035,757
1763702377,300,175,736,2538,2447,2019,9206,5918,6265,2211,9035,756
1763702381,300,175,736,2537,2445,2019,9201,5917,6262,2209,9031,755
1763702386,300,175,736,2538,2445,2019,9205,5919,6262,2208,9026,754
1763702391,300,175,737,2537,2445,2017,9203,5915,6260,2207,9024,752
1763702404,350,175,782,2559,2546,1948,9164,5960,6236,2374,10372,891
1763702409,350,175,782,2559,2546,1948,9165,5961,6237,2374,10374,891
1763702414,350,175,782,2559,2546,1947,9166,5960,6236,2374,10375,891
1763702418,350,175,782,2559,2547,1948,9166,5960,6236,2373,10374,890
1763702423,350,175,783,2558,2546,1947,9165,5961,6236,2374,10369,890
1763702428,350,175,782,2559,2546,1947,9165,5958,6233,2373,10370,889
1763702433,350,175,782,2560,2545,1947,9163,5957,6235,2372,10367,889
1763702437,350,175,782,2560,2546,1947,9167,5959,6236,2373,10371,889
1763702442,350,175,782,2560,2546,1947,9166,5960,6236,2373,10366,888
1763702447,350,175,782,2559,2545,1946,9167,5958,6236,2372,10366,889
1763702452,350,175,783,2560,2546,1947,9164,5957,6235,2371,10365,888
1763702456,350,175,782,2561,2546,1947,9166,5958,6235,2372,10368,887
1763702461,350,175,782,2560,2546,1947,9166,5959,6237,2373,10366,888
1763702466,350,175,783,2560,2546,1947,9169,5960,6236,2371,10364,887
1763702470,350,175,782,2560,2546,1946,9167,5961,6233,2371,10365,887
1763702560,400,175,813,2358,2656,1937,9631,5992,6193,2344,12488,1065
1763702564,400,175,813,2358,2655,1936,9631,5992,6193,2344,12488,1065
1763702569,400,175,814,2357,2655,1935,9630,5990,6193,2345,12485,1065
1763702574,400,175,813,2359,2655,1936,9630,5991,6192,2343,12484,1065
1763702579,400,175,813,2358,2655,1936,9629,5992,6191,2345,12489,1066
1763702583,400,175,813,2358,2654,1936,9627,5990,6191,2345,12487,1065
1763702588,400,175,812,2357,2655,1936,9627,5994,6191,2345,12485,1066
1763702593,400,175,812,2358,2655,1936,9626,5990,6192,2345,12490,1066
1763702597,400,175,812,2358,2655,1937,9629,5991,6191,2346,12486,1066
1763702602,400,175,813,2357,2655,1936,9624,5990,6191,2345,12488,1065
1763702607,400,175,813,2358,2655,1936,9625,5990,6190,2344,12485,1064
1763702612,400,175,813,2358,2655,1936,9625,5989,6191,2344,12485,1068
1763702616,400,175,813,2358,2655,1936,9627,5991,6190,2346,12486,1066
1763702621,400,175,813,2358,2654,1936,9628,5989,6190,2345,12486,1065
1763702626,400,175,813,2358,2655,1936,9629,5990,6191,2345,12485,1066
1763702650,450,175,781,2213,2546,1831,9214,5882,5878,2220,13463,1181
1763702654,450,175,782,2215,2547,1832,9221,5885,5882,2222,13472,1184
1763702659,450,175,782,2214,2547,1832,9220,5885,5884,2222,13473,1186
1763702664,450,175,782,2214,2547,1831,9222,5884,5883,2222,13471,1183
1763702669,450,175,782,2215,2548,1833,9219,5885,5884,2223,13473,1185
1763702673,450,175,782,2215,2549,1833,9224,5888,5886,2224,13475,1187
1763702678,450,175,783,2217,2549,1833,9224,5885,5885,2224,13477,1186
1763702683,450,175,784,2216,2550,1834,9224,5887,5886,2224,13477,1186
1763702687,450,175,783,2216,2549,1834,9222,5888,5887,2226,13481,1189
1763702692,450,175,783,2216,2550,1833,9223,5887,5885,2225,13479,1188
1763702697,450,175,784,2216,2551,1835,9228,5891,5889,2227,13491,1191
1763702702,450,175,784,2217,2551,1835,9227,5891,5890,2227,13490,1189
1763702706,450,175,782,2217,2551,1835,9228,5890,5889,2227,13486,1189
1763702711,450,175,783,2217,2551,1834,9226,5890,5888,2228,13487,1189
1763702716,450,175,784,2218,2552,1835,9230,5892,5890,2229,13486,1191
1763702730,500,175,738,2230,2298,1804,8033,5532,5768,2091,12683,1207
1763702735,500,175,739,2230,2298,1805,8035,5534,5768,2092,12690,1209
1763702739,500,175,739,2230,2297,1805,8033,5533,5768,2092,12684,1209
1763702744,500,175,739,2229,2298,1804,8036,5532,5767,2092,12685,1208
1763702749,500,175,739,2229,2298,1805,8035,5532,5768,2093,12687,1208
1763702754,500,175,739,2230,2298,1805,8036,5531,5769,2093,12688,1209
1763702758,500,175,739,2230,2298,1804,8034,5531,5769,2092,12684,1210
1763702763,500,175,739,2229,2299,1804,8034,5532,5770,2093,12686,1210
1763702768,500,175,740,2230,2299,1805,8034,5532,5770,2094,12688,1211
1763702773,500,175,740,2229,2298,1805,8035,5531,5771,2094,12691,1210
1763702777,500,175,738,2229,2297,1804,8033,5528,5767,2093,12683,1210
1763702782,500,175,738,2230,2298,1804,8034,5531,5769,2093,12691,1210
1763702787,500,175,739,2228,2297,1804,8028,5527,5767,2093,12684,1209
1763702792,500,175,739,2228,2297,1804,8033,5528,5769,2094,12687,1210
1763702796,500,175,739,2229,2298,1805,8033,5530,5766,2093,12689,1210
1763702815,550,175,633,1938,1697,1626,6858,4746,5257,1758,10688,1092
1763702820,550,175,634,1940,1699,1628,6864,4748,5261,1762,10691,1093
1763702824,550,175,634,1941,1700,1628,6867,4751,5264,1763,10692,1093
1763702829,550,175,635,1941,1701,1628,6870,4752,5266,1764,10694,1094
1763702834,550,175,635,1941,1701,1628,6871,4753,5266,1764,10694,1094
1763702839,550,175,634,1940,1701,1629,6870,4752,5268,1764,10694,1094
1763702843,550,175,635,1942,1702,1629,6870,4752,5267,1765,10693,1095
1763702848,550,175,635,1941,1702,1630,6872,4753,5270,1765,10698,1095
1763702853,550,175,634,1942,1702,1629,6872,4751,5269,1765,10696,1095
1763702858,550,175,634,1942,1704,1630,6876,4753,5272,1766,10698,1095
1763702862,550,175,635,1943,1703,1630,6874,4752,5272,1766,10696,1094
1763702867,550,175,634,1942,1704,1630,6876,4753,5272,1767,10696,1095
1763702872,550,175,634,1943,1704,1630,6877,4753,5274,1767,10696,1096
1763702877,550,175,635,1944,1705,1630,6880,4757,5276,1768,10697,1095
1763702882,550,175,635,1945,1705,1630,6879,4757,5276,1767,10695,1095
1763702894,600,175,459,1701,1353,1319,6566,3631,5087,1456,8946,840
1763702899,600,175,459,1702,1355,1320,6570,3632,5092,1457,8952,840
1763702904,600,175,459,1701,1354,1319,6570,3631,5091,1457,8950,840
1763702909,600,175,459,1703,1355,1320,6570,3634,5093,1457,8954,840
1763702914,600,175,459,1701,1355,1321,6570,3633,5095,1457,8954,840
1763702918,600,175,459,1703,1356,1321,6571,3634,5093,1458,8952,840
1763702923,600,175,459,1702,1356,1320,6569,3633,5093,1457,8951,841
1763702928,600,175,459,1703,1356,1321,6572,3632,5094,1458,8952,840
1763702933,600,175,459,1703,1356,1321,6573,3636,5097,1458,8953,842
1763702937,600,175,459,1703,1358,1321,6574,3637,5098,1460,8955,841
1763702942,600,175,459,1706,1357,1322,6579,3635,5099,1460,8955,841
1763702947,600,175,459,1707,1359,1323,6581,3639,5102,1460,8959,841
1763702952,600,175,460,1706,1358,1323,6581,3640,5100,1461,8959,841
1763702956,600,175,459,1707,1359,1323,6579,3639,5102,1460,8957,841
1763702961,600,175,459,1706,1360,1323,6582,3638,5104,1460,8958,842
1763703023,650,175,449,1658,1408,1338,6538,3729,4680,1438,8863,704
1763703028,650,175,451,1660,1412,1342,6543,3736,4687,1443,8875,706
1763703033,650,175,451,1661,1410,1342,6542,3733,4687,1443,8875,707
1763703038,650,175,451,1661,1411,1342,6544,3735,4687,1443,8873,707
1763703042,650,175,451,1661,1410,1341,6542,3735,4686,1442,8874,707
1763703047,650,175,451,1660,1410,1341,6541,3733,4684,1443,8870,707
1763703052,650,175,451,1660,1411,1341,6543,3733,4685,1442,8870,706
1763703057,650,175,451,1661,1411,1341,6543,3735,4685,1442,8870,707
1763703062,650,175,451,1660,1411,1341,6541,3732,4685,1441,8869,706
1763703066,650,175,451,1660,1411,1341,6541,3733,4685,1442,8867,706
1763703071,650,175,451,1660,1410,1341,6541,3735,4685,1442,8871,706
1763703076,650,175,451,1661,1411,1341,6543,3734,4686,1441,8869,705
1763703081,650,175,451,1662,1412,1341,6543,3735,4686,1441,8869,705
1763703085,650,175,451,1662,1411,1341,6546,3735,4687,1441,8873,705
1763703090,650,175,451,1661,1411,1341,6542,3735,4686,1441,8871,705
1763703118,700,175,542,1569,1689,1477,5973,4252,4762,1594,10942,812
1763703123,700,175,543,1571,1691,1481,5983,4257,4768,1599,10953,817
1763703128,700,175,543,1570,1691,1480,5982,4257,4767,1598,10951,817
1763703133,700,175,543,1570,1691,1479,5982,4255,4768,1597,10951,816
1763703137,700,175,543,1569,1690,1479,5980,4254,4766,1597,10950,816
1763703142,700,175,542,1569,1690,1479,5980,4255,4766,1597,10950,816
1763703147,700,175,542,1569,1690,1479,5982,4255,4765,1596,10947,816
1763703152,700,175,542,1569,1690,1478,5980,4253,4765,1596,10947,815
1763703157,700,175,543,1569,1689,1478,5980,4253,4765,1595,10945,816
1763703161,700,175,542,1568,1689,1479,5981,4253,4763,1595,10943,816
1763703166,700,175,543,1568,1689,1477,5979,4252,4763,1594,10946,814
1763703171,700,175,542,1569,1688,1477,5977,4253,4762,1594,10939,814
1763703176,700,175,542,1568,1688,1477,5978,4250,4760,1593,10943,814
1763703180,700,175,542,1567,1689,1477,5976,4250,4761,1594,10944,814
1763703185,700,175,542,1567,1688,1476,5977,4250,4758,1593,10942,813
1763703203,300,225,888,2636,2654,2728,10014,8244,6845,2350,9040,861
1763703208,300,225,889,2636,2653,2729,10014,8247,6845,2349,9035,861
1763703212,300,225,888,2636,2653,2729,10010,8247,6845,2350,9036,860
1763703217,300,225,888,2636,2652,2729,10011,8251,6844,2349,9035,860
1763703222,300,225,889,2635,2653,2728,10009,8250,6845,2349,9034,860
1763703227,300,225,888,2635,2652,2729,10008,8247,6843,2348,9033,859
1763703231,300,225,889,2635,2652,2729,10011,8248,6843,2349,9031,860
1763703236,300,225,889,2636,2652,2730,10008,8248,6843,2348,9033,860
1763703241,300,225,889,2637,2653,2730,10013,8254,6848,2350,9037,861
1763703246,300,225,889,2636,2653,2729,10012,8251,6845,2348,9036,860
1763703251,300,225,889,2635,2652,2730,10011,8254,6845,2349,9035,860
1763703255,300,225,889,2635,2653,2731,10013,8254,6848,2350,9040,861
1763703260,300,225,889,2635,2653,2732,10011,8253,6846,2349,9036,860
1763703265,300,225,889,2636,2653,2730,10012,8254,6846,2349,9036,859
1763703270,300,225,889,2635,2653,2730,10009,8254,6845,2348,9033,859
1763703294,350,225,959,2654,3029,2596,10722,8356,7156,2436,10836,1004
1763703299,350,225,960,2654,3030,2596,10725,8358,7156,2436,10842,1003
1763703304,350,225,960,2653,3029,2596,10723,8354,7155,2435,10836,1004
1763703308,350,225,960,2653,3030,2596,10723,8358,7157,2435,10839,1004
1763703313,350,225,960,2653,3030,2596,10726,8356,7155,2435,10840,1003
1763703318,350,225,960,2654,3030,2596,10725,8359,7156,2435,10840,1004
1763703323,350,225,961,2654,3030,2597,10726,8361,7159,2437,10843,1005
1763703327,350,225,961,2655,3030,2597,10725,8359,7157,2435,10843,1003
1763703332,350,225,960,2652,3030,2596,10723,8360,7155,2435,10839,1003
1763703337,350,225,960,2653,3029,2596,10728,8362,7155,2436,10839,1003
1763703342,350,225,960,2653,3030,2596,10728,8362,7157,2436,10844,1004
1763703347,350,225,961,2653,3029,2596,10726,8358,7154,2436,10841,1003
1763703351,350,225,960,2652,3029,2595,10725,8360,7153,2434,10839,1003
1763703356,350,225,960,2652,3028,2596,10725,8360,7153,2435,10839,1003
1763703361,350,225,960,2653,3029,2595,10722,8358,7153,2435,10837,1004
1763703398,400,225,1223,2509,3135,2694,10190,9364,7372,2466,13383,1144
1763703403,400,225,1225,2508,3136,2695,10188,9371,7373,2465,13388,1144
1763703407,400,225,1225,2510,3137,2697,10192,9382,7377,2466,13399,1144
1763703412,400,225,1226,2509,3137,2698,10193,9386,7379,2467,13406,1145
1763703417,400,225,1227,2509,3137,2699,10190,9385,7378,2467,13412,1144
1763703422,400,225,1228,2508,3137,2700,10188,9387,7378,2466,13410,1144
1763703426,400,225,1228,2507,3137,2701,10189,9389,7377,2466,13417,1144
1763703431,400,225,1228,2507,3137,2700,10190,9395,7381,2466,13418,1143
1763703436,400,225,1229,2508,3137,2701,10191,9396,7381,2467,13423,1144
1763703441,400,225,1228,2508,3137,2701,10190,9397,7381,2467,13423,1145
1763703446,400,225,1229,2509,3139,2702,10193,9399,7383,2467,13429,1144
1763703450,400,225,1230,2508,3139,2702,10192,9399,7383,2467,13425,1143
1763703455,400,225,1229,2507,3138,2703,10195,9405,7383,2468,13435,1145
1763703460,400,225,1229,2509,3139,2703,10192,9403,7385,2468,13432,1144
1763703465,400,225,1230,2508,3139,2704,10195,9406,7387,2467,13434,1145
1763703466,450,225,1230,2508,3140,2704,10193,9405,7385,2468,13431,1144
1763703470,450,225,1230,2508,3138,2703,10192,9404,7386,2467,13433,1145
1763703475,450,225,1231,2507,3139,2704,10192,9406,7386,2467,13436,1144
1763703480,450,225,1231,2507,3140,2704,10193,9407,7386,2467,13434,1144
1763703485,450,225,1231,2508,3139,2705,10193,9409,7388,2468,13435,1143
