timestamp,x,y,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
1758174896,300,175,735,1814,1708,1824,6460,4605,6015,1924,10587,1051
1758174906,300,175,733,1815,1707,1824,6462,4606,6019,1919,10563,1029
1758174917,300,175,698,1781,1648,1773,6432,4610,5977,1873,10585,1043
1758174928,300,175,679,1760,1614,1737,6393,4605,5934,1829,10553,1022
1758174939,300,175,686,1772,1631,1755,6423,4622,5966,1855,10620,1059
1758174950,300,175,710,1799,1672,1793,6426,4610,5978,1859,10602,1045
1758174960,300,175,713,1801,1677,1798,6459,4607,6019,1890,10630,1063
1758174971,300,175,721,1811,1690,1810,6481,4618,6035,1903,10597,1044
1758174982,300,175,713,1794,1670,1788,6430,4592,5975,1884,10562,1025
1758174993,300,175,720,1806,1684,1803,6454,4604,5994,1898,10567,1031
1758175040,400,175,1090,2631,2983,2982,9331,7858,7881,2668,15789,1467
1758175051,400,175,1090,2647,3007,3009,9379,7885,7919,2681,15825,1473
1758175062,400,175,1092,2647,3006,3005,9391,7888,7921,2676,15861,1484
1758175072,400,175,1093,2649,3008,3006,9396,7894,7929,2678,15876,1484
1758175083,400,175,1092,2648,3008,3006,9381,7897,7922,2678,15904,1491
1758175094,400,175,1095,2653,3009,3010,9416,7916,7957,2688,15971,1515
1758175105,400,175,1097,2693,3066,3068,9477,7929,8019,2702,15944,1498
1758175116,400,175,1098,2696,3067,3072,9482,7939,8027,2704,15933,1492
1758175127,400,175,1096,2659,3015,3016,9419,7936,7954,2694,15940,1493
1758175137,400,175,1098,2658,3019,3017,9428,7939,7967,2701,15999,1524
1758175197,500,175,887,2233,2409,2482,8515,7039,7387,2275,16373,1443
1758175208,500,175,871,2205,2379,2464,8359,6907,7330,2249,16171,1435
1758175219,500,175,864,2191,2365,2450,8306,6860,7302,2227,16084,1422
1758175230,500,175,862,2191,2364,2448,8284,6838,7299,2226,16055,1421
1758175240,500,175,847,2161,2332,2421,8121,6692,7225,2186,15821,1399
1758175251,500,175,839,2142,2315,2404,8055,6639,7189,2176,15725,1391
1758175262,500,175,838,2140,2314,2404,8036,6622,7183,2174,15703,1394
1758175273,500,175,834,2131,2304,2393,8011,6594,7165,2159,15641,1380
1758175284,500,175,834,2129,2305,2394,8002,6581,7169,2165,15641,1392
1758175295,500,175,834,2133,2306,2395,8009,6584,7175,2166,15622,1385
1758175360,600,175,948,2402,2808,2603,9514,7680,7175,2528,18128,1712
1758175371,600,175,947,2402,2807,2601,9505,7679,7165,2527,18130,1717
1758175381,600,175,948,2404,2812,2605,9515,7687,7177,2531,18162,1752
1758175392,600,175,949,2409,2815,2608,9531,7701,7187,2534,18168,1736
1758175403,600,175,950,2412,2817,2610,9540,7711,7190,2535,18203,1752
1758175414,600,175,954,2419,2826,2617,9549,7725,7202,2549,18252,1786
1758175425,600,175,952,2419,2825,2616,9551,7725,7201,2542,18230,1774
1758175436,600,175,951,2416,2821,2613,9548,7720,7198,2538,18199,1745
1758175446,600,175,951,2416,2822,2614,9544,7719,7193,2540,18198,1745
1758175457,600,175,951,2417,2822,2614,9548,7721,7197,2539,18183,1718
1758175524,700,175,748,1821,2118,1980,7285,5930,5491,2006,14412,1549
1758175535,700,175,761,1848,2154,2027,7415,6097,5582,2047,14620,1546
1758175545,700,175,765,1857,2166,2043,7426,6107,5592,2053,14657,1568
1758175556,700,175,768,1863,2174,2050,7439,6126,5609,2066,14634,1544
1758175567,700,175,766,1857,2167,2042,7432,6116,5597,2054,14709,1601
1758175578,700,175,768,1861,2170,2045,7438,6122,5600,2058,14676,1581
1758175589,700,175,767,1862,2171,2046,7436,6123,5599,2056,14624,1547
1758175599,700,175,768,1862,2173,2048,7443,6124,5604,2061,14695,1595
1758175610,700,175,768,1861,2171,2048,7437,6122,5603,2061,14668,1574
1758175621,700,175,766,1856,2165,2041,7423,6105,5590,2052,14609,1542
1758175884,300,275,619,799,1223,1196,3049,3411,3394,1167,7519,817
1758175895,300,275,619,799,1223,1195,3048,3408,3391,1165,7517,818
1758175906,300,275,621,802,1229,1200,3057,3414,3404,1170,7563,834
1758175917,300,275,622,804,1232,1202,3066,3419,3413,1174,7603,852
1758175928,300,275,621,800,1227,1195,3056,3410,3398,1162,7507,805
1758175939,300,275,623,801,1235,1197,3072,3415,3416,1166,7608,859
1758175949,300,275,625,801,1236,1197,3070,3413,3412,1164,7552,831
1758175960,300,275,627,803,1242,1200,3082,3419,3425,1169,7607,861
1758175971,300,275,628,804,1243,1201,3079,3420,3420,1172,7558,832
1758175982,300,275,628,802,1240,1196,3071,3410,3407,1166,7506,814
1758176035,400,275,1296,3269,3570,3618,12462,10491,10482,3255,22162,1874
1758176046,400,275,1298,3273,3568,3618,12476,10501,10510,3256,22201,1877
1758176057,400,275,1300,3274,3569,3618,12492,10503,10531,3256,22203,1880
1758176067,400,275,1298,3269,3557,3605,12444,10488,10472,3249,22189,1875
1758176078,400,275,1296,3266,3552,3601,12479,10484,10545,3248,22170,1873
1758176089,400,275,1296,3266,3546,3599,12479,10483,10543,3245,22154,1866
1758176100,400,275,1296,3268,3542,3592,12459,10492,10504,3250,22174,1873
1758176111,400,275,1298,3276,3545,3593,12492,10508,10549,3252,22208,1872
1758176122,400,275,1300,3283,3549,3597,12502,10526,10562,3261,22247,1880
1758176133,400,275,1303,3288,3552,3597,12511,10546,10548,3268,22275,1884
1758176217,500,275,1315,3009,3333,3387,10189,9297,8600,4047,16249,1505
1758176228,500,275,1315,3014,3332,3390,10182,9303,8597,4054,16226,1500
1758176239,500,275,1317,3015,3335,3395,10175,9310,8602,4069,16200,1498
1758176250,500,275,1315,3011,3329,3392,10160,9304,8593,4067,16202,1499
1758176261,500,275,1316,3012,3333,3398,10164,9304,8600,4075,16209,1508
1758176272,500,275,1314,3005,3325,3389,10153,9291,8590,4056,16194,1500
1758176283,500,275,1311,2998,3319,3383,10137,9274,8566,4040,16175,1498
1758176294,500,275,1307,2993,3312,3376,10127,9261,8561,4028,16155,1495
1758176305,500,275,1305,2983,3301,3362,10105,9239,8535,4000,16139,1496
1758176315,500,275,1303,2976,3298,3358,10093,9224,8523,3989,16135,1498
1758176369,600,275,1578,3488,4017,4414,13002,12967,10301,3269,28204,2168
1758176380,600,275,1580,3492,4021,4418,13009,12978,10302,3270,28197,2174
1758176391,600,275,1583,3495,4026,4422,13026,12999,10313,3275,28235,2181
1758176402,600,275,1581,3491,4024,4418,13021,12990,10303,3271,28216,2188
1758176413,600,275,1581,3486,4018,4412,13012,12980,10294,3266,28190,2185
1758176423,600,275,1580,3485,4016,4416,13006,12973,10291,3264,28147,2174
1758176434,600,275,1579,3482,4012,4412,12999,12968,10286,3263,28162,2197
1758176445,600,275,1581,3481,4014,4412,13001,12964,10284,3262,28095,2166
1758176456,600,275,1580,3480,4013,4414,13004,12971,10288,3264,28156,2200
1758176467,600,275,1580,3482,4012,4415,13010,12972,10290,3262,28056,2153
1758176521,700,275,1098,2208,2643,2884,8298,8941,7038,2467,19483,1605
1758176532,700,275,1100,2213,2649,2889,8311,8958,7053,2476,19592,1668
1758176543,700,275,1100,2212,2650,2886,8311,8959,7051,2472,19506,1596
1758176554,700,275,1100,2212,2648,2887,8314,8958,7055,2473,19593,1656
1758176565,700,275,1102,2215,2652,2891,8321,8967,7064,2482,19599,1648
1758176576,700,275,1101,2215,2649,2888,8316,8970,7061,2477,19552,1612
1758176587,700,275,1102,2215,2651,2890,8317,8963,7063,2481,19586,1635
1758176598,700,275,1101,2214,2648,2888,8313,8959,7059,2478,19556,1615
1758176609,700,275,1101,2211,2648,2887,8310,8957,7062,2477,19601,1647
1758176620,700,275,1101,2211,2646,2886,8311,8957,7059,2477,19584,1631
1758176750,300,375,633,890,1204,1418,3198,3809,3683,1247,7926,791
1758176760,300,375,633,891,1204,1418,3199,3810,3684,1248,7934,793
1758176771,300,375,633,891,1204,1418,3202,3810,3687,1251,7935,791
1758176782,300,375,635,892,1205,1419,3203,3808,3688,1249,7938,795
1758176793,300,375,633,891,1204,1418,3205,3811,3689,1247,7935,789
1758176804,300,375,632,891,1202,1416,3201,3806,3685,1242,7931,785
1758176815,300,375,632,890,1200,1413,3199,3803,3679,1235,7914,777
1758176826,300,375,633,891,1202,1417,3206,3809,3689,1244,7942,788
1758176837,300,375,633,891,1203,1418,3203,3809,3688,1243,7933,787
1758176848,300,375,632,888,1200,1413,3202,3805,3684,1238,7919,777
1758176897,400,375,868,1920,2160,1927,7956,5490,6402,2045,11232,1142
1758176908,400,375,867,1922,2159,1927,7957,5491,6400,2043,11221,1134
1758176919,400,375,869,1928,2165,1931,7971,5502,6416,2051,11244,1135
1758176930,400,375,868,1928,2164,1931,7975,5503,6416,2050,11254,1137
1758176941,400,375,870,1932,2169,1937,7980,5511,6425,2057,11292,1153
1758176952,400,375,867,1926,2161,1929,7970,5501,6419,2047,11250,1135
1758176963,400,375,869,1928,2166,1934,7975,5503,6424,2054,11277,1149
1758176974,400,375,870,1929,2165,1933,7973,5506,6426,2054,11280,1152
1758176985,400,375,868,1928,2163,1932,7972,5501,6420,2049,11260,1141
1758176996,400,375,868,1926,2161,1930,7966,5496,6416,2046,11252,1141
1758177055,500,375,1291,3687,4042,4178,13983,10793,10169,3430,20881,1899
1758177066,500,375,1293,3687,4044,4181,13977,10801,10155,3427,20908,1898
