Feature,Importance_X,Importance_Y,Avg_Importance
f7,0.029222335788232027,0.6359597015969657,0.3325910186925989
nir,0.2398845132886831,0.18338455767816733,0.2116345354834252
f1,0.39884035651631405,0.011043448490130165,0.2049419025032221
clear,0.09935077260079907,0.0762170617475261,0.08778391717416259
f2,0.02811390358929313,0.057298426475668074,0.042706165032480606
f8,0.060366825475561686,0.007850585937172095,0.03410870570636689
f5,0.054810988347314085,0.009480580716646404,0.03214578453198025
f6,0.04972832150795854,0.00694161737965652,0.02833496944380753
f4,0.023907891802112544,0.0058318880139844416,0.014869889908048493
f3,0.015774091083731893,0.005992131964083186,0.01088311152390754
